,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_accuracy_train,metric_accuracy_test,metric_f1_train,metric_f1_test,metric_roc_train,metric_roc_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo
212,DecisionLatticeClassifier,breast,4,560,139,0.435799,42,0.9928571428571428,0.9928057553956836,0.9903846153846152,0.9859154929577464,0.9943502824858756,0.9951923076923076,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
213,DecisionLatticeClassifier,breast,4,560,139,0.490309,42,0.4142857142857143,0.2733812949640288,0.5567567567567567,0.4093567251461988,0.536723163841808,0.5144230769230769,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
214,DecisionLatticeClassifier,breast,4,560,139,10.407298,42,0.9928571428571428,0.9856115107913668,0.9903846153846152,0.9722222222222222,0.9943502824858756,0.9903846153846152,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact
215,DecisionLatticeClassifier,breast,4,560,139,0.9114690000000001,42,0.9982142857142856,0.9928057553956836,0.9975786924939468,0.9859154929577464,0.9985875706214687,0.9951923076923076,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
216,DecisionLatticeClassifier,breast,4,560,139,1.025568,42,0.4035714285714286,0.2733812949640288,0.5510752688172044,0.4093567251461988,0.5272338324831332,0.5144230769230769,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
217,DecisionLatticeClassifier,breast,4,560,139,15.736294000000001,42,0.6321428571428571,0.7482014388489209,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",
218,DecisionLatticeClassifier,breast,4,560,139,15.739582,42,0.6321428571428571,0.7482014388489209,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",approximate
219,DecisionLatticeClassifier,breast,4,560,139,16.0018,42,0.6321428571428571,0.7482014388489209,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",exact
220,DecisionTreeClassifier,heart,0,736,184,0.005243,42,1.0,0.6467391304347826,1.0,0.6285714285714287,1.0,0.6490913438546151,,,,,
221,RandomForestClassifier,heart,0,736,184,0.013652000000000001,42,0.9578804347826086,0.7173913043478259,0.9636576787807736,0.7078651685393258,0.9569927923421476,0.7223816355810617,5.0,10.0,,,
222,RandomForestClassifier,heart,0,736,184,0.206484,42,1.0,0.8260869565217391,1.0,0.8160919540229885,1.0,0.8299856527977044,,,,,
223,GradientBoostingClassifier,heart,0,736,184,0.11321500000000001,42,0.9144021739130436,0.8260869565217391,0.9275028768699656,0.8222222222222222,0.9087901593870079,0.8335724533715925,,,,,
224,LGBMClassifier,heart,0,736,184,1.0749950000000001,42,1.0,0.8206521739130435,1.0,0.8156424581005587,1.0,0.8274748923959827,,,,,
225,CatBoostClassifier,heart,0,736,184,7.365292,42,0.9809782608695652,0.8315217391304348,0.9837587006960556,0.8287292817679557,0.97868776668713,0.8396700143472022,,,,,
226,DecisionLatticeClassifier,heart,0,736,184,2.428076,42,0.9741847826086956,0.8043478260869565,0.977620730270907,0.8021978021978022,0.9746216169103326,0.8127690100430416,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
227,DecisionLatticeClassifier,heart,0,736,184,2.744359,42,0.5801630434782609,0.44565217391304346,0.7343078245915735,0.6165413533834586,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
228,DecisionLatticeClassifier,heart,0,736,184,213.079485,42,0.9741847826086956,0.7608695652173914,0.977620730270907,0.7684210526315789,0.9746216169103326,0.7735533237685317,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact
229,DecisionLatticeClassifier,heart,0,736,184,6.602352000000001,42,0.9809782608695652,0.8206521739130435,0.9837587006960556,0.8135593220338984,0.97868776668713,0.8262792922046868,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
230,DecisionLatticeClassifier,heart,0,736,184,17.528607,42,0.5801630434782609,0.44565217391304346,0.7343078245915735,0.6165413533834586,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
231,DecisionLatticeClassifier,heart,0,736,184,35.418116,42,0.5883152173913043,0.5869565217391305,0.7297056199821588,0.62,0.5177576680839453,0.6035389765662362,,,Sofia,"{'L_max': 10, 'random_state': 42}",
232,DecisionLatticeClassifier,heart,0,736,184,35.422428000000004,42,0.5896739130434783,0.5434782608695652,0.6186868686868686,0.3437500000000001,0.5927104886200859,0.5164992826398852,,,Sofia,"{'L_max': 10, 'random_state': 42}",approximate
233,DecisionLatticeClassifier,heart,0,736,184,35.69276199999999,42,0.5883152173913043,0.5869565217391305,0.7297056199821588,0.62,0.5177576680839453,0.6035389765662362,,,Sofia,"{'L_max': 10, 'random_state': 42}",exact
234,DecisionTreeClassifier,heart,1,736,184,0.0051719999999999995,42,1.0,0.6793478260869565,1.0,0.5815602836879432,1.0,0.6903577842243404,,,,,
235,RandomForestClassifier,heart,1,736,184,0.0122,42,0.9456521739130436,0.7663043478260869,0.9555555555555556,0.6194690265486725,0.9439735759690888,0.7243403785053185,5.0,10.0,,,
236,RandomForestClassifier,heart,1,736,184,0.19983499999999998,42,1.0,0.8206521739130435,1.0,0.7226890756302521,1.0,0.8023898328498412,,,,,
